Nom,"personage lié ",État,fonction,Role,thème
Introduction,"Meli, Meryl",Terminé,"Déclencheur de la quête, exposition du conflit (syndicat vs habitants).","Mise en contexte, présentation du monde, du protagoniste (Meli) et de la mission.","dernier espoir, isolement, tension"
Vol ( hub principale ),"Meli, Meryl",Terminé,"Permet de revenir au centre après chaque mission, progression via la variable visitedIsland.","Guide du joueur, lore, descriptions des personnages et lieux.","Liberté, exploration, routine du pilote."
"Manuel ",Docteur Boogie Love,A corriger,"Outil d’aide, approfondissement du background, ton léger et complice.","Point de navigation, choix du joueur pour explorer les différentes îles ou consulter le manuel.","humour, mémoire, transmission du savoir"
Bosquet de Pet.ite Jean,Pet.ite Jean,A corriger,"
Dialogue sur l’innovation, la famille, la marginalité.","Rencontre avec pet.ite jean, exploration de ses rêves et de sa relation avec son grand-père.","croyance en les aliens, enfance, quete d'identité, technologie"
"Bistro ( karim et Huguette ) ","Huguette, Karim",A corriger,"Exploration du passé du syndicat, du conflit contre l’ancien régime, moments d’émotion et d’humour.","Rencontre avec deux anciens du syndicat, discussions sur le passé, la guerre, la camaraderie.","alcool, deuil, mémoire, solidarité, transmission du savoir"
Disquaire,Docteur Boogie Love,A corriger,"Transmission du savoir technique et émotionnel, lien entre technologie et humanité.","Rencontre avec Boogie Love, histoire du COLLAPS, de l’inventrice, et du rôle de la musique.","deuil, héritage, passion, résistance culturel"
"Ferme Vieux Jean ","Vache alien, Vieux Jean",A corriger,"Dialogue sur la défiance, la famille, la survie, la ruralité.","Rencontre avec le résistant, exploration de la méfiance envers le syndicat et la technologie.","Alien/vache, paranoia, résistance, tradition"
Interlude 1,"Meli, Meryl",Pas commencé,,,
Interlude 2,"Meli, Meryl",Pas commencé,,,
choix_destination,,Terminé,,,
