Nom,"personage lié ",État,fonction,Role,thème,"Type de tâche",Priorité,Effort
Introduction,"Meli, Meryl",Terminé,"Déclencheur de la quête, exposition du conflit (syndicat vs habitants).","Mise en contexte, présentation du monde, du protagoniste (Meli) et de la mission.","dernier espoir, isolement, tension","Écriture",Haute,Terminé
Vol ( hub principale ),"Meli, Meryl",Terminé,"Permet de revenir au centre après chaque mission, progression via la variable visitedIsland.","Guide du joueur, lore, descriptions des personnages et lieux.","Liberté, exploration, routine du pilote.","Structure",Haute,Terminé
Manuel,Docteur Boogie Love,Terminé,"Outil d'aide, approfondissement du background, ton léger et complice.","Point de navigation, choix du joueur pour explorer les différentes îles ou consulter le manuel.","humour, mémoire, transmission du savoir","Écriture",Moyenne,Terminé
Bosquet de Pet.ite Jean,Pet.ite Jean,A corriger,"Dialogue sur l'innovation, la famille, la marginalité.","Rencontre avec pet.ite jean, exploration de ses rêves et de sa relation avec son grand-père.","croyance en les aliens, enfance, quete d'identité, technologie","Écriture",Haute,Moyen
"Bistro ( karim et Huguette )","Huguette, Karim",A corriger,"Exploration du passé du syndicat, du conflit contre l'ancien régime, moments d'émotion et d'humour.","Rencontre avec deux anciens du syndicat, discussions sur le passé, la guerre, la camaraderie.","alcool, deuil, mémoire, solidarité, transmission du savoir","Écriture",Haute,Élevé
Disquaire,Docteur Boogie Love,A corriger,"Transmission du savoir technique et émotionnel, lien entre technologie et humanité.","Rencontre avec Boogie Love, histoire du COLLAPS, de l'inventrice, et du rôle de la musique.","deuil, héritage, passion, résistance culturel","Écriture",Haute,Élevé
"Ferme Vieux Jean","Vache alien, Vieux Jean",A corriger,"Dialogue sur la défiance, la famille, la survie, la ruralité.","Rencontre avec le résistant, exploration de la méfiance envers le syndicat et la technologie.","Alien/vache, paranoia, résistance, tradition","Écriture",Haute,Moyen
Interlude 1,"Meli, Meryl",Ébauché,"Pause réflexive, retour au hub principal après deux missions.","Moment de dialogue avec Meryl, approfondissement du contexte et de la relation entre les personnages.","réflexion, pause narrative, tension croissante","Écriture",Moyenne,Faible
Interlude 2,"Meli, Meryl",Ébauché,"Transition vers la fin, préparation au départ définitif.","Moment de contemplation et de bilan avant la conclusion de l'histoire.","mélancolie, acceptation, perspective","Écriture",Moyenne,Faible
Final,Tous,Ébauché,"Conclusion, message final.","Fermeture de l'histoire, message thématique sur la mémoire et le changement.","conclusion, héritage, départ","Écriture",Haute,Moyen
choix_destination,,Terminé,"Gestion des choix d'îles et progression du jeu.","Mécanique principale de progression narrative.","navigation, choix, contrôle","Structure",Haute,Terminé
Correction erreurs Ink,N/A,À faire,"Résolution des problèmes de syntaxe et des loose ends dans le code Ink.","Assurer la fluidité et la cohérence technique du récit.","stabilité, robustesse","Technique",Haute,Moyen
Implémentation web,N/A,À faire,"Adaptation du script Ink pour le web.","Transformation du jeu textuel en expérience web interactive.","accessibilité, diffusion","Technique",Haute,Élevé
Design CSS,N/A,À faire,"Création d'une interface visuelle minimaliste mais évocatrice.","Renforcement de l'ambiance par des éléments visuels sobres.","identité visuelle, ambiance, immersion","Habillage",Moyenne,Élevé
Intégration médias,N/A,À faire,"Ajout d'éléments sonores et visuels minimalistes.","Enrichissement de l'expérience narrative par des éléments non textuels.","immersion, ambiance","Habillage",Basse,Moyen
Test utilisateur,N/A,À faire,"Validation de l'expérience narrative et correction des problèmes identifiés.","S'assurer que l'histoire est cohérente, engageante et sans bugs.","qualité, expérience utilisateur","Technique",Moyenne,Faible
